, SGDPN-OTZ5-2023-0139-M, SGDPN-OTZ5-2023-0191-M,EXCLUSION DE SOCIOS | Registro de inclusión y/o exclusión de miembros ,EXCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros ,INCLUSION DE SOCIOS | Registro de inclusión y/o exclusión de miembros ,INCLUSION Y EXCLUSION DE SOCIOS | Registro de inclusión y/o exclusión de miembros ,INCLUSION/EXCLUSION DE SOCIOS | Registro de inclusión y/o exclusión de miembros ,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros ,INCLUSIÓN Y EXCLUCIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros ,INCLUSIÓN Y EXCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros ,NO ESPECIFICADO,PERSONALIDAD JURÍDICA | Personería jurídica a organizaciones sin fines de lucro,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro,PERSONERIA JURIDICA | Personería jurídica de Pueblos y Nacionalidades,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades,PERSONERIA JURIDICA | Registro y Otorgamiento de Personería Jurídica a Organizaciones sin fines de Lucro ,PERSONERIA JURIDICA | Registro y otorgamiento de personería jurídica a organizaciones sin fines de lucro,PERSONERÍA JURÍDICA | Personería jurídica a organizaciones sin fines de lucro,PERSONERÍA JURÍDICA | Personería jurídica de las comunas y comunidades,REFORMA DE ESTATUTO  | Reforma y Mejoramiento de los Estatutos,REFORMA DE ESTATUTO  | Reforma y Mejoramiento de los Estatutos ,REFORMA DE ESTATUTO  | Reforma y mejoramiento del Estatuto,REFORMA DE ESTATUTO  | Registro y Otorgamiento de Personería Jurídica a Organizaciones sin fines de Lucro ,REFORMA DE ESTATUTO | Reforma y Mejoramiento de los Estatutos ,REFORMA DE ESTATUTO | Reforma y mejoramiento del Estatuto,REFORMA DEL ESTATUTO | Reforma y Mejoramiento de los Estatutos ,REGISTRO DE DIRECTIVA  | Registro y actualización de Directiva,REGISTRO DE DIRECTIVA  | Registro y actualización de Directiva ,REGISTRO DE DIRECTIVA | Personería jurídica a organizaciones sin fines de lucro,REGISTRO DE DIRECTIVA | Registro de inclusión y/o exclusión de miembros ,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva ,REGISTRO DE LA DIRECTIVA | Registro y actualización de Directiva,REGITRO DE DIRECTIVA | Registro y actualización de Directiva,SGDPN- SGDPN-2023-0385-E,SGDPN-DRCPN-2025-0053-R,SGDPN-OTZ1-2023-0038-E,SGDPN-OTZ1-2025-0047-E,SGDPN-OTZ3-2025-0084-E,SGDPN-OTZ4-2024-0110-M,SGDPN-OTZ4-2024-0112-E,SGDPN-OTZ4-2024-0165-E,SGDPN-OTZ5-2023-0141-E,SGDPN-OTZ5-2023-0146-E,SGDPN-OTZ5-2023-0169-E,SGDPN-OTZ5-2024-0010-E,SGDPN-OTZ5-2024-0028-E,SGDPN-OTZ5-2024-0104-E,SGDPN-OTZ5-2024-0181-E,SGDPN-OTZ5-2024-0191-E,SGDPN-OTZ5-2024-0208-E,SGDPN-OTZ5-2024-0208-E ,SGDPN-OTZ5-2024-0245-E,SGDPN-OTZ5-2024-0249-E,SGDPN-OTZ5-2024-0263-E,SGDPN-OTZ5-2024-0278-E,SGDPN-OTZ5-2024-0279-E,SGDPN-OTZ5-2024-0288-E ,SGDPN-OTZ5-2025-0093-E,SGDPN-OTZ5-2025-0098-E ,SGDPN-OTZ5-2025-0126-E,SGDPN-OTZ5-2025-0144-E,"SGDPN-OTZ6,7-0097",SGDPN-OTZ6-2024-0135-E,SGDPN-OTZ6-2024-0159-E,SGDPN-OTZ6-2025-0107-E,SGDPN-SGDPN -2024-1450-E,SGDPN-SGDPN -2024-1604-E,SGDPN-SGDPN -2024-1728-E,SGDPN-SGDPN -2024-1833,SGDPN-SGDPN -2024-2526,SGDPN-SGDPN -2024-2846-E,SGDPN-SGDPN -2024-3266-E ,SGDPN-SGDPN -2024-3277-E,SGDPN-SGDPN -2025-0295-E,SGDPN-SGDPN -2025-1463-E,SGDPN-SGDPN -2025-1665-E,SGDPN-SGDPN -2025-1774-E,SGDPN-SGDPN -2025-2031-E,SGDPN-SGDPN-2022-1658-E,SGDPN-SGDPN-2023-0902-E,SGDPN-SGDPN-2023-1219-,SGDPN-SGDPN-2023-1286-E,SGDPN-SGDPN-2023-1518-E,SGDPN-SGDPN-2023-1632-,SGDPN-SGDPN-2023-1957-E,SGDPN-SGDPN-2023-1985-E,SGDPN-SGDPN-2023-2310-E,SGDPN-SGDPN-2023-2513-E,SGDPN-SGDPN-2023-2768-E,SGDPN-SGDPN-2023-2908-E ,SGDPN-SGDPN-2023-3050-E,SGDPN-SGDPN-2023-3133-E,SGDPN-SGDPN-2023-3216-E,SGDPN-SGDPN-2023-3257-E,SGDPN-SGDPN-2023-3415-E,SGDPN-SGDPN-2024- 2730-E,SGDPN-SGDPN-2024-0531-E,SGDPN-SGDPN-2024-0672-E,SGDPN-SGDPN-2024-0898-E,SGDPN-SGDPN-2024-0944-E ,SGDPN-SGDPN-2024-1167-E,SGDPN-SGDPN-2024-1198-E,SGDPN-SGDPN-2024-1222-E,SGDPN-SGDPN-2024-1248-E,SGDPN-SGDPN-2024-1359-E,SGDPN-SGDPN-2024-1384-E ,SGDPN-SGDPN-2024-1559,SGDPN-SGDPN-2024-1702-E,SGDPN-SGDPN-2024-1784-E,SGDPN-SGDPN-2024-1914-E,SGDPN-SGDPN-2024-1944-E,SGDPN-SGDPN-2024-1967-E ,SGDPN-SGDPN-2024-2160-E,SGDPN-SGDPN-2024-2283-E ,SGDPN-SGDPN-2024-2323-E,SGDPN-SGDPN-2024-2528-E,SGDPN-SGDPN-2024-2693-E,SGDPN-SGDPN-2024-2763-E,SGDPN-SGDPN-2024-2872-E,SGDPN-SGDPN-2024-3680-E,SGDPN-SGDPN-2024-3696,SGDPN-SGDPN-2024-3696-E,SGDPN-SGDPN-2024-3742-E,SGDPN-SGDPN-2024-3833-E,SGDPN-SGDPN-2025-0042-E,SGDPN-SGDPN-2025-0341-E,SGDPN-SGDPN-2025-0402-E,SGDPN-SGDPN-2025-0599-E,SGDPN-SGDPN-2025-0660-E,SGDPN-SGDPN-2025-0744,SGDPN-SGDPN-2025-0810-E,SGDPN-SGDPN-2025-0816-E,SGDPN-SGDPN-2025-0894-E,SGDPN-SGDPN-2025-0919-E,SGDPN-SGDPN-2025-0920-E,SGDPN-SGDPN-2025-1054-E,SGDPN-SGDPN-2025-1343-E,SGDPN-SGDPN-2025-1418-E,SGDPN-SGDPN-2025-1517-E,SGDPN-SGDPN-2025-1551-E,SGDPN-SGDPN-2025-2065-E,SGDPN-SGDPN-2025-2070-E,SGDPN-SGDPN-2025-2097-E ,SGDPN-SGDPN-2025-2105-E,SGDPN-SGDPN-2025-2191-E,SGDPN-SGDPN-2025-2479-E,SGDPN-SGDPN-2025-2652-E,SGDPN-SGDPN-2025-2695-E,SGDPN-SGDPN-2025-2732-E,SGDPN-SGDPN-2025-3171-E,SGDPN-SGDPN-2025-3184-E,TRANSFERENCIA (DEVOLUCIÓN) | Otros,CLUSTER
"ASOCIACIÓN DE MUJERES COFANES ""A´ TSE""",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ASOCIACIÓN DE MUJERES NEGRAS YEMANYA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASOCIACIÓN DE MUJERES VIDA NUEVA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"ASOCIACIÓN JATUN AYLLU JUAN PASTO ""AJA""",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
ASOCIACIÓN KICHWA ALTO ATAHUALPA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASOCIACIÓN KICHWA DOMINGO DAHUA “AKID”,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ASOCIACIÓN SACHA SISA WARMI WANKURISHKA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
CENTRO DE TURISMO COMUNITARIO MATIRI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CENTRO KICHWA DE MIRADOR DE ALTO COCA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CENTRO KICHWA RIO GUACAMAYOS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CENTRO SECOYA ENO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CENTRO SHUAR ACHUAR WAYUSENTSA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
CENTRO SHUAR DE CHATUS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CENTRO SHUAR DE KUNCHAIM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CENTRO SHUAR ETSA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
CENTRO SHUAR KUWAKASH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CENTRO SHUAR LOS VEGAS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CENTRO SHUAR MAYAIK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
CENTRO SHUAR NUMPAIM SAN CARLOS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CENTRO SHUAR SENKUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CENTRO SHUAR YAMARAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
COJNAPIS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
COMUNA ANCESTRAL CERRITO DE LOS MORREÑOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
COMUNA ANCESTRAL SANTA RITA DE BALAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
COMUNA KICHWA KURI YAKU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
COMUNIDAD 05 DE AGOSTO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
COMUNIDAD AGUA SANTA DOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
COMUNIDAD BELLAVISTA DE SAN PEDRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
COMUNIDAD CACHILOMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
COMUNIDAD DE GUANANSI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"COMUNIDAD DE LA NACIONALIDAD SHUAR ""CHARIP""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
